 iteration        1/    1000 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 83781.7 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.082687E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.222 | tokens per gpu per second (tgs): 1564.447 | TFLOPs: 1.35 |
 iteration        2/    1000 | consumed samples:         2048 | consumed tokens:       524288 | elapsed time per iteration (ms): 100798.4 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.064966E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 10.159 | tokens per gpu per second (tgs): 1300.339 | TFLOPs: 1.12 |
 iteration        3/    1000 | consumed samples:         3072 | consumed tokens:       786432 | elapsed time per iteration (ms): 82609.8 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.058261E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.396 | tokens per gpu per second (tgs): 1586.639 | TFLOPs: 1.37 |
 iteration        4/    1000 | consumed samples:         4096 | consumed tokens:      1048576 | elapsed time per iteration (ms): 82703.2 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.053828E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.382 | tokens per gpu per second (tgs): 1584.847 | TFLOPs: 1.36 |
 iteration        5/    1000 | consumed samples:         5120 | consumed tokens:      1310720 | elapsed time per iteration (ms): 82572.5 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.051783E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.401 | tokens per gpu per second (tgs): 1587.357 | TFLOPs: 1.37 |
 iteration        6/    1000 | consumed samples:         6144 | consumed tokens:      1572864 | elapsed time per iteration (ms): 82560.5 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.049323E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.403 | tokens per gpu per second (tgs): 1587.587 | TFLOPs: 1.37 |
 iteration        7/    1000 | consumed samples:         7168 | consumed tokens:      1835008 | elapsed time per iteration (ms): 82243.4 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.046056E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.451 | tokens per gpu per second (tgs): 1593.708 | TFLOPs: 1.37 |
 iteration        8/    1000 | consumed samples:         8192 | consumed tokens:      2097152 | elapsed time per iteration (ms): 82510.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.042591E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.411 | tokens per gpu per second (tgs): 1588.549 | TFLOPs: 1.37 |
 iteration        9/    1000 | consumed samples:         9216 | consumed tokens:      2359296 | elapsed time per iteration (ms): 82561.0 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.039066E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.403 | tokens per gpu per second (tgs): 1587.577 | TFLOPs: 1.37 |
 iteration       10/    1000 | consumed samples:        10240 | consumed tokens:      2621440 | elapsed time per iteration (ms): 81390.2 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.035865E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.581 | tokens per gpu per second (tgs): 1610.416 | TFLOPs: 1.39 |
 iteration       11/    1000 | consumed samples:        11264 | consumed tokens:      2883584 | elapsed time per iteration (ms): 81698.5 | learning rate: 5.998E-05 | global batch size:  1024 | lm loss: 1.032130E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.534 | tokens per gpu per second (tgs): 1604.337 | TFLOPs: 1.38 |
 iteration       12/    1000 | consumed samples:        12288 | consumed tokens:      3145728 | elapsed time per iteration (ms): 81498.5 | learning rate: 5.998E-05 | global batch size:  1024 | lm loss: 1.029119E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.565 | tokens per gpu per second (tgs): 1608.275 | TFLOPs: 1.38 |
 iteration       13/    1000 | consumed samples:        13312 | consumed tokens:      3407872 | elapsed time per iteration (ms): 81404.6 | learning rate: 5.998E-05 | global batch size:  1024 | lm loss: 1.025805E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.579 | tokens per gpu per second (tgs): 1610.131 | TFLOPs: 1.39 |
 iteration       14/    1000 | consumed samples:        14336 | consumed tokens:      3670016 | elapsed time per iteration (ms): 81272.1 | learning rate: 5.997E-05 | global batch size:  1024 | lm loss: 1.022065E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.600 | tokens per gpu per second (tgs): 1612.755 | TFLOPs: 1.39 |
 iteration       15/    1000 | consumed samples:        15360 | consumed tokens:      3932160 | elapsed time per iteration (ms): 81335.8 | learning rate: 5.997E-05 | global batch size:  1024 | lm loss: 1.018920E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.590 | tokens per gpu per second (tgs): 1611.493 | TFLOPs: 1.39 |
