 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 118305.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083638E+01 | loss scale: 1.0 | grad norm: 8.072 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.656 | tokens per gpu per second (tgs): 1107.911 | TFLOPs: 0.95 |
 iteration        2/     100 | consumed samples:         2048 | consumed tokens:       524288 | elapsed time per iteration (ms): 166280.1 | learning rate: 5.995E-05 | global batch size:  1024 | lm loss: 1.065511E+01 | loss scale: 1.0 | grad norm: 4.052 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 6.158 | tokens per gpu per second (tgs): 788.260 | TFLOPs: 0.68 |
 iteration        3/     100 | consumed samples:         3072 | consumed tokens:       786432 | elapsed time per iteration (ms): 117474.7 | learning rate: 5.988E-05 | global batch size:  1024 | lm loss: 1.058540E+01 | loss scale: 1.0 | grad norm: 1.949 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.717 | tokens per gpu per second (tgs): 1115.747 | TFLOPs: 0.96 |
 iteration        4/     100 | consumed samples:         4096 | consumed tokens:      1048576 | elapsed time per iteration (ms): 118006.2 | learning rate: 5.979E-05 | global batch size:  1024 | lm loss: 1.053897E+01 | loss scale: 1.0 | grad norm: 1.951 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.678 | tokens per gpu per second (tgs): 1110.721 | TFLOPs: 0.96 |
 iteration        5/     100 | consumed samples:         5120 | consumed tokens:      1310720 | elapsed time per iteration (ms): 118041.5 | learning rate: 5.967E-05 | global batch size:  1024 | lm loss: 1.111850E+01 | loss scale: 1.0 | grad norm: 2.302 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.675 | tokens per gpu per second (tgs): 1110.389 | TFLOPs: 0.96 |
 iteration        6/     100 | consumed samples:         6144 | consumed tokens:      1572864 | elapsed time per iteration (ms): 117718.3 | learning rate: 5.952E-05 | global batch size:  1024 | lm loss: 1.051804E+01 | loss scale: 1.0 | grad norm: 6.665 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.699 | tokens per gpu per second (tgs): 1113.438 | TFLOPs: 0.96 |
 iteration        7/     100 | consumed samples:         7168 | consumed tokens:      1835008 | elapsed time per iteration (ms): 117531.7 | learning rate: 5.935E-05 | global batch size:  1024 | lm loss: 1.048437E+01 | loss scale: 1.0 | grad norm: 2.088 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.713 | tokens per gpu per second (tgs): 1115.205 | TFLOPs: 0.96 |
 iteration        8/     100 | consumed samples:         8192 | consumed tokens:      2097152 | elapsed time per iteration (ms): 117467.8 | learning rate: 5.915E-05 | global batch size:  1024 | lm loss: 1.045725E+01 | loss scale: 1.0 | grad norm: 1.946 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.717 | tokens per gpu per second (tgs): 1115.812 | TFLOPs: 0.96 |
 iteration        9/     100 | consumed samples:         9216 | consumed tokens:      2359296 | elapsed time per iteration (ms): 117000.1 | learning rate: 5.893E-05 | global batch size:  1024 | lm loss: 1.043271E+01 | loss scale: 1.0 | grad norm: 1.912 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.752 | tokens per gpu per second (tgs): 1120.273 | TFLOPs: 0.96 |
 iteration       10/     100 | consumed samples:        10240 | consumed tokens:      2621440 | elapsed time per iteration (ms): 117203.8 | learning rate: 5.868E-05 | global batch size:  1024 | lm loss: 1.040792E+01 | loss scale: 1.0 | grad norm: 1.996 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.737 | tokens per gpu per second (tgs): 1118.325 | TFLOPs: 0.96 |
 iteration       11/     100 | consumed samples:        11264 | consumed tokens:      2883584 | elapsed time per iteration (ms): 117173.0 | learning rate: 5.840E-05 | global batch size:  1024 | lm loss: 1.037841E+01 | loss scale: 1.0 | grad norm: 1.881 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.739 | tokens per gpu per second (tgs): 1118.620 | TFLOPs: 0.96 |
 iteration       12/     100 | consumed samples:        12288 | consumed tokens:      3145728 | elapsed time per iteration (ms): 117128.9 | learning rate: 5.810E-05 | global batch size:  1024 | lm loss: 1.034746E+01 | loss scale: 1.0 | grad norm: 1.848 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.743 | tokens per gpu per second (tgs): 1119.041 | TFLOPs: 0.96 |
 iteration       13/     100 | consumed samples:        13312 | consumed tokens:      3407872 | elapsed time per iteration (ms): 116967.4 | learning rate: 5.778E-05 | global batch size:  1024 | lm loss: 1.032400E+01 | loss scale: 1.0 | grad norm: 2.047 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.755 | tokens per gpu per second (tgs): 1120.585 | TFLOPs: 0.96 |
 iteration       14/     100 | consumed samples:        14336 | consumed tokens:      3670016 | elapsed time per iteration (ms): 117228.8 | learning rate: 5.743E-05 | global batch size:  1024 | lm loss: 1.029403E+01 | loss scale: 1.0 | grad norm: 2.054 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.735 | tokens per gpu per second (tgs): 1118.087 | TFLOPs: 0.96 |
 iteration       15/     100 | consumed samples:        15360 | consumed tokens:      3932160 | elapsed time per iteration (ms): 117179.0 | learning rate: 5.706E-05 | global batch size:  1024 | lm loss: 1.026827E+01 | loss scale: 1.0 | grad norm: 1.927 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.739 | tokens per gpu per second (tgs): 1118.562 | TFLOPs: 0.96 |
 iteration       16/     100 | consumed samples:        16384 | consumed tokens:      4194304 | elapsed time per iteration (ms): 117247.8 | learning rate: 5.666E-05 | global batch size:  1024 | lm loss: 1.023287E+01 | loss scale: 1.0 | grad norm: 1.925 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.734 | tokens per gpu per second (tgs): 1117.905 | TFLOPs: 0.96 |
 iteration       17/     100 | consumed samples:        17408 | consumed tokens:      4456448 | elapsed time per iteration (ms): 117757.8 | learning rate: 5.624E-05 | global batch size:  1024 | lm loss: 1.019932E+01 | loss scale: 1.0 | grad norm: 2.029 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.696 | tokens per gpu per second (tgs): 1113.064 | TFLOPs: 0.96 |
 iteration       18/     100 | consumed samples:        18432 | consumed tokens:      4718592 | elapsed time per iteration (ms): 116984.8 | learning rate: 5.580E-05 | global batch size:  1024 | lm loss: 1.017338E+01 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.753 | tokens per gpu per second (tgs): 1120.419 | TFLOPs: 0.96 |
 iteration       19/     100 | consumed samples:        19456 | consumed tokens:      4980736 | elapsed time per iteration (ms): 117117.2 | learning rate: 5.533E-05 | global batch size:  1024 | lm loss: 1.013910E+01 | loss scale: 1.0 | grad norm: 1.871 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.743 | tokens per gpu per second (tgs): 1119.152 | TFLOPs: 0.96 |
 iteration       20/     100 | consumed samples:        20480 | consumed tokens:      5242880 | elapsed time per iteration (ms): 117259.3 | learning rate: 5.484E-05 | global batch size:  1024 | lm loss: 1.011174E+01 | loss scale: 1.0 | grad norm: 1.858 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.733 | tokens per gpu per second (tgs): 1117.797 | TFLOPs: 0.96 |
 iteration       21/     100 | consumed samples:        21504 | consumed tokens:      5505024 | elapsed time per iteration (ms): 117191.6 | learning rate: 5.433E-05 | global batch size:  1024 | lm loss: 1.007552E+01 | loss scale: 1.0 | grad norm: 1.857 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.738 | tokens per gpu per second (tgs): 1118.442 | TFLOPs: 0.96 |
 iteration       22/     100 | consumed samples:        22528 | consumed tokens:      5767168 | elapsed time per iteration (ms): 117201.1 | learning rate: 5.380E-05 | global batch size:  1024 | lm loss: 1.004767E+01 | loss scale: 1.0 | grad norm: 2.005 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.737 | tokens per gpu per second (tgs): 1118.351 | TFLOPs: 0.96 |
